url,score,fail_count,fail_ids
http://localhost:3010/services/interior-fit-out/putney,100,0,
http://localhost:3010/services/interior-fit-out/twickenham,100,0,
http://localhost:3010/services/interior-fit-out/wandsworth,100,0,
http://localhost:3010/services/interior-fit-out/fulham,100,0,
http://localhost:3010/services/interior-fit-out/hammersmith,100,0,
http://localhost:3010/services/interior-fit-out/surrey,100,0,
http://localhost:3010/services/basement-conversions/wimbledon,100,0,
http://localhost:3010/services/basement-conversions/kingston,100,0,
http://localhost:3010/services/basement-conversions/richmond,100,0,
http://localhost:3010/services/basement-conversions/surbiton,100,0,
http://localhost:3010/services/basement-conversions/putney,100,0,
http://localhost:3010/services/basement-conversions/twickenham,100,0,
http://localhost:3010/services/basement-conversions/wandsworth,100,0,
http://localhost:3010/services/basement-conversions/fulham,100,0,
http://localhost:3010/services/basement-conversions/hammersmith,100,0,
http://localhost:3010/services/basement-conversions/surrey,100,0,
http://localhost:3010/portfolio/house-extension-and-full-ground-floor-refurbishment-walton-on-thames,100,0,
http://localhost:3010/portfolio/house-extension-hampton,100,0,
http://localhost:3010/portfolio/house-extension-twickenham,100,0,
http://localhost:3010/portfolio/bathroom-refurbishment-kingston-upon-thames,100,0,
http://localhost:3010/portfolio/bathroom-refurbishment-putney,100,0,
http://localhost:3010/portfolio/bathroom-conversion-putney,100,0,
http://localhost:3010/portfolio/house-refurbishment-clapham,100,0,
http://localhost:3010/portfolio/traditional-rear-extension-twickenham,100,0,
http://localhost:3010/portfolio/modern-rear-extension-hampton,100,0,
http://localhost:3010/services/house-extensions,100,0,
http://localhost:3010/services/house-extensions/Kingston,100,0,
http://localhost:3010/services/house-extensions/Richmond,100,0,
